"","Area","Element","Unit","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Mean"
"1","Afghanistan","Calories/Year","Kcal",571916.36,571458.44,608449.63,617964.92,857334.59,759911.34,762287.05,731439.12,744459.3,737081.07,729570.42,772748.4,780963.2,711198.756923077
"2","Algeria","Calories/Year","Kcal",1593347.39,1774902.84,1837088.73,2031118.75,2131020.34,1771874.5,1705458.67,1614729.34,1514259.82,1502781.24,1463587.82,1460994.96,1475966.89,1682856.25307692
"3","Angola","Calories/Year","Kcal",103032.69,97363.77,99477.61,104523.77,120746.86,118430.85,114849.73,112871.61,120800.99,117446.72,114760.55,119668.23,123382.61,112873.537692308
"4","Armenia","Calories/Year","Kcal",261422,259718,294579,301253,313098.95,337627.79,336034.87,355506.44,306010,305704.34,269871,305512.74,287835.05,302628.706153846
"5","Australia","Calories/Year","Kcal",1563775,1362064,1772945.09,1910177.89,1777331.71,1890838.33,1933014.99,1886593.54,1913810.77,2050075.4,2047103.09,2059659.25,1526500,1822606.85076923
"6","Austria","Calories/Year","Kcal",62089.5,56987.44,53737.06,54400.91,64802.15,50154.25,56731.3,50208.99,60732.73,46561.09,47704.19,46789,52473.97,54105.5830769231
"7","Azerbaijan","Calories/Year","Kcal",488622,525400,535041.8,550068.95,606240.98,633400.39,660799.79,652563.92,684931.76,709196.42,716042.33,678993.87,748277.85,629967.696923077
"8","Belgium","Calories/Year","Kcal",401378.62,320210,319500,390500,579716.04,607574.61,623528.75,617799.72,512601.32,495580,510888.21,493225.95,492685.8,489629.924615385
"9","Botswana","Calories/Year","Kcal",170652.05,173873.32,176524.46,180326.51,176483.43,190155.02,181622.8,138892.22,173656.07,163700.31,161271.77,129616.38,125740.58,164808.84
"10","Brazil","Calories/Year","Kcal",15191208.29,15878620.83,15980468.02,16944743.58,17192170.38,16673651.61,16620822.29,15993673.21,16459066.28,17705937.75,17972676.19,17717117.22,17452236.36,16752491.6930769
"11","Cambodia","Calories/Year","Kcal",18077.87,17855.8,17714.01,19242.31,19558.3,18326,19107.19,30246,32163,17366.7,20235,23197.84,21647.11,21133.6253846154
"12","Cameroon","Calories/Year","Kcal",113939.82,115281.21,117373.86,120558.69,125899.56,117111.82,113357.06,113325.58,113358.17,116899.24,123185,144319.66,133876.93,120652.815384615
"13","Canada","Calories/Year","Kcal",189225.35,65566.17,0,0,0,88805.04,127137.64,132627.93,161630.02,75604.03,118704.77,121197.38,170901.6,96261.5330769231
"14","Chile","Calories/Year","Kcal",93759.83,97083.13,98183.03,62467.18,79572.6,66911.78,67260.21,69311.89,44020,74953.03,81873.08,71903.46,70337.27,75202.8069230769
"15","China","Calories/Year","Kcal",22400324.41,22932727.65,23491460.4,22250616.28,23524044.26,20230270.56,19604150.01,19445860.88,19704773.72,20578888.21,22119248.5,23732199.29,22839521.44,21758006.5853846
"17","Taiwan","Calories/Year","Kcal",221190.14,231669.26,228854.65,237680.06,246024.4,255528.57,263345.14,276106.91,311127.92,315959.12,323841.72,324168.53,330593.74,274314.627692308
"18","Colombia","Calories/Year","Kcal",2970118.26,2983744.43,3151565.17,3229843.92,3232771.82,3246971.77,3120347.02,3159266.79,3251607.69,3265258.96,3381347.79,3381848.65,3550105.41,3224984.43692308
"19","Cyprus","Calories/Year","Kcal",61699,63687,63403,61553.94,62269.44,57172.5,54833.71,49855.28,46150,65684.23,76325,78846.17,79336.43,63139.6692307692
"20","Czech Republic","Calories/Year","Kcal",71000,56800,113600,113600,165054.85,179858,185769.19,182120.87,128555.06,146278.51,133792.91,106500,102950,129683.03
"21","Democratic Republic of the Congo","Calories/Year","Kcal",7354.18,7411.69,8121.69,8476.69,8704.95,6090.42,6229.44,6005.07,6459.33,7240.13,6669.31,7256.22,9336.83,7335.07307692308
"22","Denmark","Calories/Year","Kcal",77354.5,150666.97,116404.5,146402,154115.3,218394.44,192093.93,110087.19,138042.3,110174.57,215597.9,180925.92,163070.03,151794.580769231
"23","Egypt","Calories/Year","Kcal",616875.79,642092.05,650238.28,597559.17,533178.96,562348.58,532122.5,610905.09,631876.4,823134.24,952820.34,1025928.44,930166.27,700711.239230769
"24","Estonia","Calories/Year","Kcal",106500,99400,102950,105790,89472.72,94087.06,84602.11,85686.28,96462.29,81640.15,84202.16,83667.57,85150.9,92277.7876923077
"25","Ethiopia","Calories/Year","Kcal",2418630.71,1984654.01,2267850.85,2086078.95,1990332.92,1907482.02,1868095.85,1847744.12,1907356.7,2321742.12,2797098.23,2304271.75,2474462.18,2167369.26230769
"26","Finland","Calories/Year","Kcal",457994.73,458789.93,446704.31,466934.34,428130,317654,368135,357840,355730.42,352036.32,353580,340445,321630,386584.926923077
"27","France","Calories/Year","Kcal",573068.97,819166.31,645465.97,574515.67,762707.4,713287.54,855685.85,806940.91,737086.42,284000,284000,445760.11,272317.16,598000.177692308
"29","Gabon","Calories/Year","Kcal",10508.64,10861.45,11560.37,11477.64,12158.04,12230.62,11839.56,11429.79,9564.09,11327.26,11758.95,9516.98,9641.14,11067.2715384615
"30","Germany","Calories/Year","Kcal",3429743.75,3411621.71,2785090.29,2949065.18,3140467.86,2991882.41,2993496.51,3622884.35,3101022.01,2485000,2485000,2437384.33,2460632.14,2945637.73384615
"31","Ghana","Calories/Year","Kcal",25203.97,27528.7,26485.45,28116.59,28593.12,29713.5,30126.01,32695.5,31505.69,32359.23,32578.85,34676.46,35231.36,30370.3407692308
"32","Greece","Calories/Year","Kcal",357568.84,294997.06,227906.05,217294.97,221522.66,266544.37,247288.17,249291.6,218000.53,160547.13,149254.39,153468.76,148637.44,224024.766923077
"33","Hungary","Calories/Year","Kcal",390500,394050,372750,355000,354091.48,346956.97,334403.73,325355.81,365138.82,341109.86,298200,312400,313661.9,346432.197692308
"34","India","Calories/Year","Kcal",36231014.56,38103523.08,39437981.55,41008217.41,43597700.11,48559621.03,51270662.48,54631348.31,59234034.32,63721766.39,71411805.93,71412568.11,71409222.54,53079189.6784615
"35","Iran","Calories/Year","Kcal",705016.81,728198.81,754648.35,783574.88,838176.81,589750.94,619474.27,701862.99,703664.34,703658.6,776198.72,767598.36,782356.42,727244.638461538
"36","Iraq","Calories/Year","Kcal",65640.01,67673.1,68566.28,70002.59,72427.69,97430.46,99933.69,99093.62,98764.04,101528.49,75864.48,84640.94,80111.02,83205.8776923077
"37","Ireland","Calories/Year","Kcal",275318.12,200214.32,182996.11,213447.3,248500,284000,319500,340800,293940,293784.71,229876.5,390500,411800,283436.696923077
"38","Israel","Calories/Year","Kcal",352644.87,379349.6,381518.07,386953.95,411945.83,386707.98,415183.69,421114.97,440555.16,429072.45,448065.37,453623.79,457453.88,412629.97
"39","Italy","Calories/Year","Kcal",1239222.64,1260103.74,1266494.45,1100079.68,1003512.25,1004252.91,957497.79,988514.82,965600,1242103.6,1064990.52,1093613.31,1094590.98,1098505.89923077
"40","Japan","Calories/Year","Kcal",3881121.33,3911683.66,3914581.52,3833923.67,3866547.09,3816657.39,3794979.1,3852894.23,3868886.56,3826803.74,3515990.45,3546251.91,3469933.3,3776942.61153846
"41","Jordan","Calories/Year","Kcal",144019.61,159899.09,161949.57,159476.58,166691.43,183079.47,187146.53,198130.88,2925.2,8647.8,35.5,2605.7,19567.6,107244.227692308
"42","Kazakhstan","Calories/Year","Kcal",2735346,2680534,2733003,2788454,2769000,2804500,2982000,3017500,3066146.48,3114535.41,3035003.6,3219997.39,3279938.65,2940458.34846154
"43","Kenya","Calories/Year","Kcal",1860745.17,1892283.68,1911741.13,1888078.26,1727574.74,1776434.43,2126578.66,1875424.63,2009432.61,2133920.19,2128549.67,2429705.26,2214152.18,1998047.73923077
"44","Kuwait","Calories/Year","Kcal",37271.45,34207.09,40227.89,9069.54,13807.5,45165.39,47759.29,53529.42,27537.01,61072.08,28528.09,30956.62,34116.56,35634.4561538462
"45","Lebanon","Calories/Year","Kcal",71000,88750,88750,107920,100389.89,100390.33,85913.18,82556.85,81650,81650,101352.5,98903.06,97359.42,91275.7869230769
"46","Malawi","Calories/Year","Kcal",30238.97,32783.08,35682.88,31367.07,41773.68,34109.91,39704.88,40896.34,38505.67,41327.01,42154.66,43270.56,43664.3,38113.77
"47","Malaysia","Calories/Year","Kcal",33583,34037.4,35216,50080.84,50535.07,53998.9,31961.79,34432.17,34983.24,37263.68,38987.69,40227.94,40470,39675.2092307692
"48","Mexico","Calories/Year","Kcal",4599729.42,4590965.43,4687127.63,4737548.54,4797096.1,4914527.82,5010336.27,5074275.04,5180282.13,5370357.13,5409136.85,5697168.05,5809208.54,5067519.91923077
"49","Mongolia","Calories/Year","Kcal",8620.35,17790.05,29751.1,53111.58,96915,131563,191203,203131,209734,169795,157803.23,183965.05,250843,131094.258461538
"50","Morocco","Calories/Year","Kcal",350301.86,375083.55,380665.69,365790.29,401000.62,409264.17,417406.49,425968.59,526457.5,397967.71,425687.18,446528.52,359327.92,406265.391538462
"51","Mozambique","Calories/Year","Kcal",53153.65,54450.87,56422.22,58166.25,57174.39,58473.37,59045.36,90115.89,100145.93,58751.19,1843.66,7760.3,5140.4,50818.7292307692
"52","Myanmar","Calories/Year","Kcal",275488.01,288270.25,349967.41,379555.89,425580.91,466646.72,479779.99,486533.2,499430.95,521989.28,180283.54,181250.32,181124.73,362761.630769231
"53","Namibia","Calories/Year","Kcal",62946.4,63301.4,66020.81,67597.92,60455.66,60835.53,66951.98,65921.22,63195.23,66272.19,66510.09,68526.41,66000.14,64964.2292307692
"54","Netherlands","Calories/Year","Kcal",900044.28,1026248.2,1114141.94,1215358.83,973663.79,948354.59,1003664.43,990731.69,1006532.16,710000,710000,720767.04,781000,930808.226923077
"55","New Zealand","Calories/Year","Kcal",78895.1,79515.37,80201.42,80977.02,73516.68,75574.18,74473.1,73362.55,77796.62,74621.24,77390.96,79497.44,72025.91,76757.5069230769
"56","Niger","Calories/Year","Kcal",134036.52,130618.97,141266.55,133620.27,141824.24,170238.04,179491.91,188824.65,200872.97,213607.81,226099.22,213688.27,194124.04,174485.650769231
"57","Nigeria","Calories/Year","Kcal",146118.32,184906.01,185886.1,187192.88,192544.35,169121.18,167591.56,168155.52,169625.32,171163.89,173654,172435.53,173364.92,173981.506153846
"58","Norway","Calories/Year","Kcal",130810.22,119968.38,158244.3,146039.35,174660,132770,92300,149100,138166,124660.57,149373.61,151793.32,121726.92,137662.513076923
"59","Oman","Calories/Year","Kcal",51096.28,46986.78,51369.01,71547,67959.84,73647.49,81452.01,64042.44,61772.91,63195.94,132403.82,126661.1,120929.69,77928.0238461539
"60","Pakistan","Calories/Year","Kcal",8515135.12,8386701.17,8701941.41,8931292.46,9760930.23,9213811.46,10104843.32,10483018.37,10878660.52,11887985.82,11720282.93,12081996.8,12412502.27,10236853.9907692
"61","Papua New Guinea","Calories/Year","Kcal",3459.31,3461.84,5447,5441.32,5981.72,5897.11,7051.29,5746.8,4984.1,4905.47,4925.57,1114.19,4833.89,4865.35461538462
"62","Poland","Calories/Year","Kcal",638570.48,619039.56,658933.45,659009.73,619311.11,625293.95,625409.9,620960.44,646949.82,558846.39,569128.36,570894.77,584652.77,615153.902307692
"63","Portugal","Calories/Year","Kcal",154248.58,144928.61,151643.42,150686.65,125104.56,142563.93,142239,97685.79,114563.47,99030.09,78100,56881.65,51760.38,116110.471538462
"64","South Korea","Calories/Year","Kcal",196146.92,121623,199790.84,194404.96,170306.49,201848.61,184958.26,182859.18,233706.75,162327.46,191377.23,185678.78,181295.96,185101.88
"65","Russia","Calories/Year","Kcal",11221782.17,11057848.14,10511124,9727465.76,9499520.45,9398378.35,9791490.72,9808657.1,10067499.84,10311121.76,10603480.17,10223850.41,9984296.12,10169731.9223077
"66","Rwanda","Calories/Year","Kcal",58168.93,61248.07,61854.46,62239.5,49200.92,58113.24,53530.49,51187.65,52237.38,56845.5,67219.98,62260.15,59707.37,57985.6646153846
"67","Saudi Arabia","Calories/Year","Kcal",112602.31,117965.9,236806.37,41732.13,282664.69,106336.91,86923.7,145319.08,135675.73,144065.84,166956.95,162598.36,157236.06,145914.156153846
"68","Senegal","Calories/Year","Kcal",82438.47,78860.55,93106.94,92487.98,105780.08,107931.18,103782.19,108478.64,111992.09,124200.95,114792.13,124802.66,117435.41,105083.79
"69","Solomon Islands","Calories/Year","Kcal",1420.87,1360.26,1482.55,1375.25,1598.05,1588.96,1606.14,1477.41,1514.95,1488.93,1558.14,1521,1501.98,1499.57615384615
"70","Somalia","Calories/Year","Kcal",166662.49,172483.09,174528.79,175847.03,179322.51,167752.7,163827.97,156943.9,163753.02,166081.37,166510.82,162605.19,159594.81,167377.976153846
"71","South Africa","Calories/Year","Kcal",1210654.37,1168395.88,1187701.49,1149286.21,1434254.97,1592752.09,1574078.64,1668060.28,1320600,1771024.22,1678408.36,1742370.6,1704805.94,1477107.15769231
"72","Spain","Calories/Year","Kcal",2614161.78,2642209.62,2622152.83,2592187.28,2482089.85,2537842.72,2554617.88,2433632.27,2453611.29,1834385.11,1704000,1704000,1410415,2275792.74076923
"73","Sri Lanka","Calories/Year","Kcal",53318.1,55625.59,79023.7,73935.35,63900,82165.97,105993.63,108944.07,129895.74,125951.93,138748.5,138629.25,140589.28,99747.7776923077
"74","Sudan","Calories/Year","Kcal",NA,NA,1734266.31,1746029.08,1755550.55,1781102.26,1807780.58,1830894.71,1848785.57,1862913.1,1877388.53,1873237.41,1887697.94,1818695.09454545
"75","Sweden","Calories/Year","Kcal",294267.31,302966.94,250992.81,247670.72,279329.67,261872.52,275458.38,277391.86,305200.55,260838.18,305901.47,306429.03,303567.57,282452.846923077
"76","Syria","Calories/Year","Kcal",630189.89,766900.01,715921.22,662813.07,641663.02,604460.25,601017,519996.52,474085.77,468951.94,568238.75,537669.93,551851.27,595673.741538462
"77","Thailand","Calories/Year","Kcal",429738.99,464860.6,484382.17,517581.27,503001.28,565788.9,562783.82,563542.96,564064.96,552064.62,537581.93,538728.11,400440,514196.893076923
"78","Tunisia","Calories/Year","Kcal",485409.02,500163.78,518805.03,543638.81,589402.56,648651.13,672344.6,681093.67,663595.82,655585.6,657109.1,667099.91,655381.22,610636.942307692
"79","Turkey","Calories/Year","Kcal",5654610.81,6284309.07,7263370.77,7563679.96,7657941.24,7600241.79,7662118.47,8292577.26,8970511.5,9391331.91,9831014.92,9808110.57,9003958.75,8075675.15538462
"80","Uganda","Calories/Year","Kcal",832561.1,865764.89,890079.94,924031.42,989953,1022471,1001762.6,981287.63,1267738.64,1048320.75,996855.4,995746.6,998121.35,985745.716923077
"81","Ukraine","Calories/Year","Kcal",4310799.57,4478263.42,4485461.21,4348188.39,3375690.82,3226884.14,3149030.95,3192846.86,3838906.27,3834000,3905000,3293463.68,3268590.4,3746701.97769231
"82","United Kingdom","Calories/Year","Kcal",4853560,4893320,4817350,4867760,4796452.25,4873397.46,4646427.09,4811610.98,4815732.19,4632477.16,4745640,4932443.15,4786887.22,4805619.80769231
"83","Tanzania","Calories/Year","Kcal",619422,653167.22,695951.88,722274.48,748720.73,773067.61,799122.35,783747.85,900492.42,1003940.03,1125090.43,1127562.74,1292003.07,864966.37
"84","United States","Calories/Year","Kcal",24444404.69,23241039.18,23660884.9,23206460.05,23926730.24,23905213.83,24357552.82,24225887.69,22757356.99,22671010,22892303.46,23254527.06,22639317.43,23475591.4107692
"85","Uruguay","Calories/Year","Kcal",244265.59,256239.34,252930.88,252609.59,264899.08,285244.85,260409.7,277674.73,280108.35,284000,269800,268830.71,291130.06,268318.683076923
"86","Uzbekistan","Calories/Year","Kcal",2984651.65,3302086.39,3532462.08,3779352.58,4207983.52,4331741.15,4473934.21,4532637.69,4603264.28,4712994.12,4900117.53,5030141.45,5200406.42,4276290.23615385
"87","Vietnam","Calories/Year","Kcal",150914.5,164619.7,182671.03,218685.64,262210.91,345824.59,381621.06,421765.57,448767.4,474147.04,504767.67,528948.79,556749.21,357053.316153846
"88","Yemen","Calories/Year","Kcal",25294.42,23993.04,24883.56,26043.76,27208.2,18457.38,16652.4,15662.86,21499.32,30716.54,30684.27,32851.11,29358.87,24869.6715384615
"89","Zambia","Calories/Year","Kcal",38059.88,37846.37,38060.54,38051.55,38666.14,35581.16,34958.57,36883.78,42446.33,29122.3,31687.71,35426.49,38211.25,36538.6207692308
