"","Country","Group","Preval_primary","95_CI_min_primary","95_CI_max_primary","pop_under15","pop_under65","pop_above65_rate","agr_land_perc","docs_per_1000","GDP","pop_hist","health_exp","life_exp","jan_temp","feb_temp","mar_temp","apr_temp","may_temp","jun_temp","jul_temp","aug_temp","sep_temp","oct_temp","nov_temp","dec_temp","avg_temp","CM_cal_mean","CM_fsq_mean"
"1","Afghanistan","Asia",0.82,0.79,0.86,8714228.328125,9615547.640625,2.446440631,12.19,0.254,1968.341,40000411,11.153,47.9150435483871,-1.80613405868,0.42535786136,6.05334312933333,12.5702747333333,18.1995255733333,22.8006975866667,24.87217204,23.3918245733333,18.9666606266667,12.7062418333333,5.92333104533333,0.65867823672,12.0634977650611,711198.756923077,79.3784615384615
"2","Algeria","Northern Africa",0.62,0.54,0.7,9480953.125,15601574.140625,4.02992057295312,3.27,1.732,11725.878,44761101,5.05318181818182,61.4175596774194,11.5535147466667,14.4430269866667,18.4524815866667,22.8779796666667,27.4961933733333,31.8336282666667,33.8250828533333,33.15546936,29.79568532,23.9541427866667,17.07726434,12.3164149066667,23.0650736827778,21133.6253846154,5.21615384615385
"3","Angola","Africa (southern, eastern, western)",0.94,0.91,0.97,6962687.015625,7842682.125,2.5618688443125,2.99,0.211,6878.59,34532427,2.96272727272727,46.6756419354839,22.01496748,22.1726159333333,22.0833106533333,22.0395176666667,21.5159506133333,19.7900712266667,19.6425019866667,21.4917799866667,23.2883652533333,23.41822568,22.14074128,21.7956227733333,21.7828058777778,21758006.5853846,58.8392307692308
"4","Armenia","Eastern Europe",0.98,0.96,1,835134.453125,1865355.78125,7.7131423393125,17.57,0,0,0,8.48363636363636,68.2780822580645,-6.53042741786667,-4.84575827826667,-0.28516773116,5.60036356133333,10.4772025266667,14.6860298933333,17.7513019733333,17.6830520533333,13.8401253,7.97095456933333,1.29629450333333,-4.10388419093333,6.12834056353667,53079189.6784615,152.127692307692
"5","Australia","Oceania",0.44,0.35,0.53,3912814.390625,11572791.234375,11.5119219679063,2.85,4.102,48651.734,25956416,8.90954545454546,76.9936032258065,28.07297492,27.3294054533333,25.7065441333333,22.42466784,18.18902244,15.10537206,14.4048373333333,16.3028977666667,19.90685668,23.3157688533333,25.4018677733333,27.02404152,21.9320213977778,727244.638461538,34.0984615384615
"6","Austria","Europe (western, southern, northern)",0.22,0.19,0.25,1455609.390625,5216044,15.612105536875,18.58,5.459,53817.305,8967053,10.105,75.6263774193548,-3.87459489173333,-2.1918659114,1.53399212788,5.77923035866667,10.4151665053333,14.1012268133333,15.9611716933333,15.5381759133333,11.7657498066667,6.94702214933333,1.329295668676,-2.71874811406667,6.215485176613,3776942.61153846,115.086153846154
"7","Azerbaijan","Eastern Europe",0.96,0.91,1.01,2288440.671875,4574374.75,5.13088162876562,25.83,3.111,14442.041,10234373,3.25363636363636,63.5713274193548,-0.115779892033333,1.12095015854667,4.96272255466667,10.7699754893333,16.08503158,20.7599830933333,23.7349499733333,23.3666027066667,18.8742678666667,12.8935890733333,6.632736664,1.88986540274667,11.7479078892161,39675.2092307692,4.88076923076923
"8","Belgium","Europe (western, southern, northern)",0.15,0.13,0.17,1968562,6665242.78125,15.5452856845312,28.41,6.257,52174.906,11570842,9.95,75.765885483871,2.48278222026667,3.021924709,5.770578136,8.70080418666667,12.65478306,15.61217646,17.3807187066667,17.1491933266667,14.3177925733333,10.60135212,6.059034188,3.4216310332,9.76439755998333,131094.258461538,160.573076923077
"9","Botswana","Africa (southern, eastern, western)",0.88,0.78,0.98,562889.625,817609.28125,3.32322313271875,0.6,0.348,14961.831,2401449,6.08181818181818,57.6277241935484,25.7176616933333,25.0649273733333,24.1817899333333,21.69612336,18.1702845333333,14.79296944,14.6321529866667,17.7868562266667,22.28796268,25.3049382933333,25.37214876,25.43469204,21.7035422766667,362761.630769231,27.0676923076923
"10","Brazil","America",0.6,0.58,0.62,46667530.15625,95339036.5625,5.17781231523437,6.32,2.142,14735.582,209550291,8.60590909090909,65.473585483871,25.03888228,24.98532508,24.8411517333333,24.4183256933333,23.7145552133333,23.2389168533333,23.2850392133333,24.4638638933333,25.51661728,25.8132916933333,25.1095741333333,24.8872891866667,24.6094026877778,10236853.9907692,183.452307692308
"11","Cambodia","Asia",0.68,0.66,0.71,3863166.5625,6020413.125,3.36293753132813,18.73,0.214,4464.2944,16974308,6.72045454545455,53.5311290322581,25.5332642133333,27.0719117733333,28.5423679066667,28.95834628,28.2001188133333,27.4838364666667,26.9983061333333,26.8543104533333,26.5056887733333,26.3114990266667,25.5176245333333,24.71201668,26.8907742544444,185101.88,14.0407692307692
"12","Cameroon","Africa (southern, eastern, western)",0.89,0.87,0.91,5947885.46875,7143682.234375,3.45328886701563,14.7,0.124,3689.359,26915764,3.73909090909091,52.3451806451613,24.2088758666667,25.4859204666667,26.2061867466667,25.8763213066667,25.02572252,23.87320704,22.9333212133333,22.76179428,22.9943126933333,23.4948856933333,23.57411024,23.4930151733333,24.1606394366667,99747.7776923077,17.9323076923077
"13","Canada","America",0.59,0.44,0.74,5926300.703125,18816256.453125,11.6556128655312,4.42,2.464,48356.332,38454058,10.1872727272727,77.0906209677419,-21.8911661333333,-20.1635743866667,-14.6831887533333,-5.99402424266667,2.443748448,9.58894730533333,13.4159028266667,11.8422206533333,6.00736525466667,-1.74734513538667,-11.103477704,-18.1690274066667,-4.20446827283778,274314.627692308,44.8961538461538
"14","Chile","America",0.56,0.5,0.62,3780469.484375,8880353.734375,6.98052236990625,3.99,2.973,25412.752,19456323,7.63545454545455,71.4739596774194,12.9765570066667,12.9206951666667,11.7095599933333,9.395932464,6.87635187066667,4.63874874133333,4.16686265066667,5.222757964,6.68833756,8.57302709866667,10.28034894,11.9223035666667,8.78095691855555,514196.893076923,28.1869230769231
"15","China","Asia",0.85,0.83,0.86,302988327.59375,728290387.6875,6.48983366109375,12.81,2.387,16296.609,1426437276,4.59136363636364,66.5702451612903,-8.002960356,-4.84418342666667,1.32454056105333,7.94150298666667,13.34227596,17.53059608,19.7576239333333,18.7603282266667,14.28995782,7.39282411333333,-0.348836019004,-6.203011584,6.74505485794856,357053.316153846,14.6215384615385
"16","Colombia","America",0.8,0.73,0.87,11041610.578125,20888725.53125,4.64170570042188,4.12,2.362,14661.213,51188174,6.93727272727273,68.4860516129032,23.98808012,24.3501667733333,24.2253039866667,23.7595083066667,23.4373771066667,23.0360617333333,22.9058385333333,23.2570764133333,23.4861639066667,23.5513454666667,23.21684872,23.3068979066667,23.5433890811111,1822606.85076923,290.683076923077
"17","Cyprus","Middle East",0.16,0.15,0.18,196655.171875,580296.875,10.0404616195156,21.6,5.375,43417.27,1317312,6.41772727272727,73.7744564516129,11.3849819533333,11.6840471733333,13.5080668933333,16.7682138133333,20.6882883466667,24.8546222266667,27.57666276,27.7064866533333,25.2191452266667,21.4975599733333,16.6560161866667,12.9687346266667,19.2094021527778,76757.5069230769,63.1176923076923
"18","Czech Republic","Former Soviet Republics",0.81,0.75,0.87,1981612.078125,6824296.96875,13.9163032628594,36.65,5.469,40744.457,10530683,7.11590909090909,73.3969387096774,-1.98809315053333,-0.708531685066667,3.03521005746667,7.83707418,12.6556788866667,16.11621992,17.7895707866667,17.3921018333333,13.292096,8.33810590666667,3.25158689031081,-0.406797121148649,8.05035187536351,4865.35461538462,2.13384615384615
"19","Democratic Republic of the Congo","Africa (southern, eastern, western)",1,1,1,20288088.125,22945651.71875,2.9280176045,3.94,0.362,1048.2465,99148931,3.60136363636364,49.3281177419355,23.6686760266667,24.1145613466667,24.06121144,23.9257122933333,24.0289912533333,23.62438156,23.50612488,23.7755546666667,23.7569116666667,23.47442744,23.1134950945946,23.2557713108108,23.6921515815616,1499.57615384615,9.25
"20","Denmark","Europe (western, southern, northern)",0.04,0,0.09,1016469.3125,3428777.546875,15.1120823810937,63.04,4.264,56813.965,5856773,9.79227272727273,76.021235483871,1.15061430310667,0.9292481498,2.82944540646667,6.29327855866667,10.86640326,14.4472535466667,16.3735484133333,16.3894957,13.4701398666667,9.62907611466667,5.43359742533333,2.54011320309333,8.36268449565,302628.706153846,408.223076923077
"21","Egypt","Northern Africa",0.68,0.66,0.71,23158875.15625,36766743.734375,4.25292275417188,3.1,0.709,11780.962,110957004,4.77090909090909,61.33505,12.7363582133333,14.6211033266667,18.3207753866667,23.10569616,26.96612724,29.4274104266667,30.09088648,30.0257174,27.7885728666667,24.0677207866667,18.2675413133333,13.9480808866667,22.4471658738889,629967.696923077,244.766153846154
"22","Estonia","Former Soviet Republics",0.28,0.25,0.31,274230.484375,919867.828125,14.307889064375,17.17,3.863,35883.266,1331750,6.05954545454545,71.7696467741935,-4.88079929466667,-5.1557584616,-1.73942354845333,4.31784286533333,10.34300856,14.9767563266667,17.21094372,16.1605017266667,11.5104455426667,6.392215272,1.33047455721333,-2.3247972784,5.67845083228556,2940458.34846154,628.251538461538
"23","Ethiopia","Africa (southern, eastern, western)",0.77,0.75,0.79,26279177.21875,31340235.5,2.80504997090625,13.09,0.104,2253.2358,122138590,4.19,48.8614935483871,22.3834035066667,23.5449407333333,24.3882841333333,23.9714404666667,23.5988060133333,23.1919044266667,22.1896909733333,22.1609604,22.7817668933333,22.2300221466667,21.53481412,21.5922509733333,22.7973570655556,10169731.9223077,271.326153846154
"24","Finland","Europe (western, southern, northern)",0.19,0.18,0.2,995025.15625,3304913.296875,14.0617284102188,7.72,4.325,47371.22,5541068,8.81454545454545,75.5165725806452,-9.71432889333333,-9.43241377733333,-5.0017003152,0.842000091613333,7.49116179066667,13.2788800466667,15.7377873466667,13.72768514,8.41891041866667,2.58274542026667,-2.95242784666667,-7.05366130666667,2.32705317627889,3746701.97769231,325.251538461538
"25","France","Europe (western, southern, northern)",0.36,0.32,0.39,12040827.671875,37354828.015625,15.3318785209375,35.42,3.324,42344.945,66083547,10.9054545454545,76.7630064516129,6.42738256933333,7.1757540164,9.53559881733333,11.7949517933333,15.02721974,17.9760643733333,19.8661480533333,19.66577736,17.2424210266667,13.9077358333333,9.57681627866667,7.15169855733333,12.9456307015889,4276290.23615385,520.877692307692
"26","Gabon","Africa (southern, eastern, western)",0.93,0.88,0.98,451262.75,668072.0625,5.68025801595313,1.65,0.594,13903.289,2376728,2.95954545454545,58.7670983870968,24.5102674266667,24.8332129733333,24.9741306266667,25.0391111466667,24.6814274133333,23.5859530933333,22.8453876666667,23.1593965866667,23.8092073866667,23.99837448,23.70737728,23.8989748266667,24.0869017422222,129683.03,47.5707692307692
"27","Germany","Europe (western, southern, northern)",0.16,0.15,0.18,13687655.75,52840068.34375,16.5514577803125,35.09,4.518,53395.65,83697082,10.9054545454545,75.6392903225806,0.227005547693333,0.992484684333333,4.23072639426667,8.16845361066667,12.6939229466667,16.022303,17.7623456,17.4243947,13.8461685666667,9.396414492,4.4575728024,1.41982926026667,8.88680180041333,92277.7876923077,269.198461538462
"28","Ghana","Africa (southern, eastern, western)",1,1,1,7389125.78125,9670240.9375,3.0015027758125,21.32,0.164,5263.5264,32518662,3.785,55.0448919354839,27.1887423733333,28.7366990533333,29.3490444933333,28.8644023733333,27.8540663066667,26.3308683466667,25.25345424,24.9239132533333,25.2467554933333,26.1408171066667,26.5653311866667,26.3658104133333,26.90165872,346432.197692308,135.664615384615
"29","Greece","Europe (western, southern, northern)",0.55,0.52,0.59,1897467.046875,6556286.59375,15.3059823661875,29.09,6.306,27009.207,10579561,8.51363636363636,76.5408225806452,5.779714588,6.731632192,8.96700896933333,12.7187997,17.25630612,21.6630487466667,24.1991405733333,24.13900304,20.46415944,15.72401384,11.0836267453333,7.33379458,14.6716873778889,615153.902307692,61.4476923076923
"30","Hungary","Former Soviet Republics",0.39,0.36,0.41,1930656.578125,6846443.265625,14.2518422755312,56.43,3.291,33583.785,9707848,7.20954545454545,71.212364516129,-0.74904558672,1.42416868450667,5.9182255296,11.3482338213333,16.2621909,19.8812011733333,21.69166584,21.1617651733333,16.6226712866667,11.0848714186667,5.47324366026667,1.02319409984,10.9285321667356,16752491.6930769,312.901538461538
"31","India","Asia",0.61,0.58,0.64,313590325.15625,558724874.140625,4.48272909389063,56.5,0.727,6172.0425,1414203889,3.55136363636364,58.1466258064516,16.8490421266667,19.6109258133333,23.8867146933333,27.7178571733333,29.68287436,28.6674350666667,26.61717152,26.0296467733333,25.7805401733333,24.1614351866667,20.3052121733333,17.19804992,23.875575415,75202.8069230769,16.0115384615385
"32","Iran","Asia",0.88,0.83,0.93,18015829.3125,34109610.09375,4.303225891875,10.25,1.514,14691.185,88455491,5.91272727272727,62.9160403225806,4.57746666946667,6.85587236973333,11.6654968266667,17.5757861133333,23.1689984133333,27.8149571733333,29.6230918533333,28.3961461733333,24.6549288666667,18.8632058,11.71504338,6.58276021466667,17.6244794878222,3224984.43692308,258.645384615385
"33","Iraq","Middle East",0.93,0.88,0.98,9075926.78125,11706679.9375,3.70522685884375,11.63,0.913,8848.118,43071210,3.59947368421053,63.2684112903226,8.75654422266667,11.1336770306667,15.66595324,21.68034488,27.7230598533333,32.43847752,34.8871000533333,34.49552632,30.6101880133333,24.24714952,15.6612181466667,10.1723454946667,22.2892986912222,5067519.91923077,161.467692307692
"34","Ireland","Europe (western, southern, northern)",0.04,-0.01,0.09,943881.078125,2371229.5625,11.65755582375,7.05,4.062,104671.875,5028430,8.01409090909091,75.3927274193548,5.2949255828,5.37077272,6.56933699733333,8.24339849333333,10.8724995866667,13.4109510866667,14.9142794266667,14.7031943466667,13.053371,10.5509408813333,7.34377190266667,5.93697166466667,9.68870114073333,268318.683076923,304.233076923077
"35","Israel","Middle East",0.89,0.88,0.91,1592450.25,3272947.828125,9.16863930046875,19.25,3.654,42379.156,8942925,7.01409090909091,76.6056225806452,11.44233072,12.5325692333333,15.1285191,18.93533124,22.422451,25.1814671066667,26.8318632,27.0327441066667,25.3052101066667,22.3517368,17.2206068266667,12.9227791266667,19.7756340472222,96261.5330769231,10.1661538461538
"36","Italy","Europe (western, southern, northern)",0.72,0.71,0.74,10173101.421875,37182599,16.1050183918906,39.64,4.126,42562.555,59729354,8.56,76.8615048387097,3.9108742504,4.926404028,7.62948376666667,10.7687128866667,15.1050085333333,19.2503938,21.96062884,21.7610245333333,18.1941038,13.7592276866667,8.70012536933333,5.04010775866667,12.5838412710889,23475591.4107692,277.897692307692
"37","Japan","Asia",0.73,0.59,0.86,21335309.34375,78237312.078125,15.4183063800781,14.09,2.614,40044.508,125679341,9.275,78.137035483871,-0.03840776754,0.615366442373333,4.10193480693333,9.77106867066667,14.6912783333333,18.4587199866667,22.43442516,23.6410322,19.9971951333333,14.1204288733333,8.12355899466667,2.67600856866667,11.5493841168694,63139.6692307692,203.520769230769
"38","Jordan","Middle East",0.56,0.48,0.64,1775266.3125,2629011.578125,3.01132835190625,3.39,2.513,9534.661,11066358,7.99545454545455,68.0315951612903,8.28156210933333,10.1136327933333,13.5828587,18.4836989266667,22.9445066133333,26.22704828,27.8829418933333,27.9858828,25.6094699333333,21.1582817333333,14.39309558,9.675708712,18.8615573395556,83205.8776923077,9.76923076923077
"39","Kazakhstan","Eastern Europe",0.75,0.65,0.84,4548939.875,9409456.03125,6.20330603765625,11.28,4.028,25361.508,19743607,3.28590909090909,64.2673322580645,-11.757406244,-10.619594288,-3.01805760274667,8.46562341733333,16.2002786666667,21.73219132,23.77466352,21.6355575866667,15.1124791866667,6.439423414,-2.43654458268,-8.62237481066667,6.40885329860333,412629.97,194.79
"40","Kenya","Africa (southern, eastern, western)",0.39,0.34,0.43,12060227.46875,14129225.984375,2.29683883592187,9.2,0.226,4745.637,53219165,4.59681818181818,57.1870451612903,25.4020476133333,26.1975666933333,26.2840265733333,25.1902085466667,24.6670997466667,23.9904038533333,23.3258074666667,23.5326611466667,24.41018788,24.9739992933333,24.0423682266667,24.2766531733333,24.6910858511111,107244.227692308,49.3376923076923
"41","Kuwait","Middle East",0.56,0.5,0.62,583899.265625,1384141.5,1.91426627292187,0.41,2.293,43922.63,4360749,3.32,72.4932467741936,12.050573956,14.5150900133333,19.1978755333333,25.29260292,31.59722704,35.7919168266667,37.4053418666667,36.94563016,33.4706319866667,27.50675676,19.2897776266667,13.5233770266667,25.548900143,35634.4561538462,35.57
"42","Lebanon","Middle East",0.78,0.69,0.87,1255208.5625,2359237.28125,5.61292066946875,28.65,2.617,17185.047,5718127,8.25863636363636,68.9411580645161,6.21199292933333,6.91491309466667,9.44422209733333,13.3400419066667,17.3756907466667,21.13839864,23.3904787866667,23.5949144266667,21.5599152666667,17.7696137666667,12.27718568,8.10250629333333,15.0933228028889,91275.7869230769,61.75
