Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,32.5346,33.0681,33.5471,34.0162,34.4942,34.9528,35.4531,35.924,36.4183,36.9101,37.4178,37.9233,38.4439,39.0029,39.5498,40.1003,40.6454,41.2278,40.2712,39.0861,39.6181,40.164,37.7661,38.1865,33.3289,33.5504,39.3962,39.8436,43.9579,45.1582,45.9672,46.6631,47.5955,51.4664,51.4945,52.5442,53.2433,53.6342,52.9431,54.8464,55.2978,55.7981,56.4538,57.3445,57.9436,58.3608,58.6844,59.1113,59.8515,60.3636,60.8508,61.4191,61.923,62.4167,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,61.9824
Cambodia,Asia,0.68,0.66,0.71,0.42,0.35,0.49,KHM,42.3608,42.7923,43.316,43.8981,44.3979,44.7895,45.3626,45.5135,45.7934,46.2414,39.1286,39.5071,40.2237,40.0243,39.8028,11.9951,12.0128,28.9102,36.9823,42.2788,47.5696,48.18,48.7362,49.4851,50.2353,51.0406,51.5062,53.4541,54.2759,54.7976,55.4341,55.7927,56.0214,56.0803,56.0355,56.3076,56.3458,56.7434,57.0275,57.69,58.6253,59.9664,61.2262,62.5229,63.5524,64.2933,65.0593,65.7314,66.4698,67.4439,67.7123,68.4163,68.9149,69.3042,69.7364,69.8725,70.2244,70.5153,70.5609,70.6923,70.416,69.5835
China,Asia,0.85,0.83,0.86,0.85,0.83,0.86,CHN,33.2749,40.4683,50.8184,51.4082,52.1561,52.9118,53.6368,54.3512,55.0569,55.7382,56.607,57.5653,58.4184,59.3891,60.1683,60.917,61.7956,62.5379,63.2177,63.8649,64.4198,64.9755,65.4627,65.9045,66.3004,66.6434,66.9697,67.2876,67.5808,67.8378,68.0052,68.1688,68.7345,69.2164,69.5201,70.008,70.2659,70.672,71.1721,71.4188,71.8807,72.6061,72.985,73.3714,73.7477,74.1111,74.5037,74.7619,74.8719,75.3434,75.5991,75.9032,76.1923,76.4523,76.7173,76.9771,77.2177,77.2476,77.7444,77.968,78.0766,78.2107
India,Asia,0.61,0.58,0.64,0.57,0.53,0.6,IND,45.218,45.3985,45.6592,45.9363,46.184,44.98,45.3332,45.6736,47.471,47.8574,48.2407,48.6324,49.025,49.5395,50.2441,50.8123,51.3883,51.9086,52.492,53.0601,53.6114,54.1748,54.7322,55.2809,55.8157,56.3338,56.8352,57.3147,57.7772,58.2333,58.6516,59.0547,59.4524,59.8152,60.2158,60.5962,60.9841,61.3876,61.7919,62.2069,62.6693,63.0913,63.616,64.0942,64.5244,64.9955,65.4123,65.7884,66.149,66.5132,66.9086,67.359,67.8872,68.4598,69.0736,69.6363,70.1167,70.4672,70.7095,70.9098,70.1499,67.2398
Iran,Asia,0.88,0.83,0.93,0.85,0.75,0.95,IRN,43.9574,44.5501,44.2689,45.6193,46.1959,46.7441,47.4211,48.0339,48.1364,49.4375,50.2041,51.1241,51.6588,52.9455,53.8538,54.761,55.7,56.5769,55.9263,58.5504,58.5367,56.7148,57.734,58.7481,61.2196,61.8931,62.487,62.8233,63.4463,65.7175,64.3665,66.4589,66.7765,67.139,67.4684,67.7846,68.0696,68.359,68.73,69.2974,69.6909,69.9546,70.4454,69.8231,71.3703,71.8384,72.2761,72.772,72.6244,72.6979,73.0691,73.6786,74.186,74.4493,74.7825,75.1239,75.6,75.9712,76.195,76.1031,74.832,73.8749
Japan,Asia,0.73,0.59,0.86,0.73,0.59,0.86,JPN,67.6898,68.3417,68.6382,69.7172,70.1695,70.2305,71.0288,71.3776,71.649,71.9007,71.9874,72.8085,73.2413,73.4061,73.8343,74.3419,74.7463,75.3111,75.6424,76.1525,76.1261,76.5487,77.0593,77.0956,77.4965,77.7899,78.2035,78.622,78.5368,78.9708,78.9838,79.2519,79.2918,79.4342,79.8238,79.6702,80.3493,80.5718,80.6402,80.6079,81.1759,81.509,81.7953,81.8558,82.1309,82.012,82.3765,82.5544,82.6382,82.9742,82.9193,82.6756,83.1755,83.4107,83.6525,83.8928,84.0664,84.1976,84.2971,84.4258,84.6879,84.7839
Malaysia,Asia,0.87,0.84,0.91,0.87,0.84,0.91,MYS,56.5018,57.4344,58.4045,59.2601,60.0633,60.9502,61.3747,61.7969,62.1938,62.6438,63.1106,63.5836,64.083,64.6199,65.2091,65.7118,66.2771,66.8109,67.2849,67.7619,68.2449,68.8515,69.2402,69.5674,69.9368,70.318,70.4577,70.6665,70.8957,71.1171,71.3071,71.4417,71.5257,71.8256,72.1627,72.3838,72.3266,72.2836,72.1684,72.2828,72.7755,73.3439,73.5627,73.7964,73.8985,74.0959,74.1642,74.2109,74.2502,74.2266,74.4423,74.7459,74.944,75.0348,75.1459,75.0942,75.2888,75.4763,75.6444,75.7603,75.9378,74.8839
Mongolia,Asia,0.88,0.83,0.92,0.88,0.83,0.92,MNG,44.9838,46.0676,47.1087,48.0652,48.9213,49.6186,50.1864,50.8874,51.4568,52.0044,52.6783,53.3452,54.0161,54.631,55.215,55.65,55.4323,55.5014,55.5466,55.573,55.6401,55.693,55.777,56.2322,56.6869,56.8411,56.9114,57.3876,57.8696,58.3438,58.7649,59.2369,59.6413,60.038,60.4048,60.6125,60.305,60.8154,61.7647,62.5293,62.8821,63.2786,63.5178,64.2078,64.7955,64.8787,65.5128,65.9701,66.3821,66.7658,67.1822,67.4393,68.1114,68.5854,69.0472,69.4977,69.8647,70.2375,71.1992,71.8221,72.141,70.9754
Myanmar,Asia,0.92,0.84,1,0,0,0,MMR,43.9063,44.3852,45.0234,45.6364,46.4969,47.4604,48.369,49.2971,50.1008,50.3416,50.7126,51.2152,51.4975,51.8703,52.2464,52.5155,52.9816,53.3046,53.4739,53.9444,54.3619,54.646,54.9548,55.2016,55.4725,55.6421,55.8769,56.076,56.0847,56.5646,56.6607,57.0135,57.2511,57.6313,57.9564,58.259,58.9408,59.2429,59.7936,59.8806,60.1546,60.4159,60.7248,60.9803,61.2496,61.5985,61.8931,62.3709,56.5056,63.1547,63.3294,63.9007,64.1412,64.8148,65.0563,65.5613,65.685,65.843,66.4646,66.6104,66.797,65.6716
Pakistan,Asia,0.58,0.56,0.61,0.65,0.61,0.68,PAK,44.9318,45.7827,46.6081,47.6318,48.5949,49.4444,50.8418,51.9011,52.8978,53.7491,54.7599,50.3502,55.239,55.4856,55.4722,55.9048,56.1133,56.2523,56.737,57.1462,57.6056,58.0516,58.416,58.9469,59.3318,59.3631,59.4636,59.0663,59.3557,59.6198,60.0656,60.2594,60.1158,59.9342,60.1159,59.8784,60.3982,60.6034,61.0898,61.679,62.1018,62.4214,62.6264,62.843,63.0522,62.4657,63.7312,63.8517,64.036,64.14,64.4361,64.6482,64.7823,65.1495,65.2842,65.6971,65.8797,66.2972,66.482,66.7558,66.2695,66.0979
South Korea,Asia,1,1,1,1,1,1,0,54.3213,54.9317,55.5336,55.9602,57.1497,58.2065,59.4634,61.2618,61.5117,62.0133,62.2668,62.8704,63.3184,63.8111,64.2779,64.6263,64.9658,64.4659,65.1,66.3253,65.3829,67.8643,67.5859,67.1044,68.5671,68.7464,69.2761,69.4735,70.3013,70.822,71.9401,72.4207,72.9564,73.283,73.6111,73.9409,74.2757,74.9707,75.4636,76.0027,76.4661,77.2697,77.5435,77.5473,78.006,78.5192,79.0754,79.48,80.0441,80.5759,80.763,81.2098,81.3473,81.8637,82.3781,82.5605,82.9259,83.2855,83.3427,83.6557,83.6089,83.6978
Sri Lanka,Asia,0.73,0.66,0.79,0.73,0.66,0.79,LKA,60.6989,61.3281,61.7335,61.976,62.1737,62.6367,63.0549,63.5097,63.777,63.993,65.2675,65.9222,65.8284,65.939,65.9993,66.2375,66.5129,66.5508,67.5664,68.1303,68.6612,69.2115,69.6744,70.0682,70.6493,70.9689,71.421,71.4572,71.5485,69.7611,71.9268,71.7512,72.5298,73.052,72.8818,72.2601,72.2615,72.1364,72.081,72.6183,70.355,70.7866,71.1165,71.3726,67.0914,72.1182,71.9693,72.0488,71.7288,69.1873,73.215,73.38,73.9058,74.2388,74.6508,74.9275,75.3314,75.4035,75.748,76.0084,76.3929,76.3991
Taiwan,Asia,0.88,0.79,0.97,0,0,0,TWN,62.5315,62.9741,63.6524,64.5001,65.3006,66.142,66.3069,66.6218,66.8708,67.971,69.2147,69.4374,69.7656,69.8728,70.394,70.9648,71.2866,71.3732,71.8672,71.8248,72.0406,72.1204,72.509,72.5114,73.094,73.3585,73.3998,73.7457,73.4764,73.7102,73.9723,74.3462,74.3574,74.6661,74.8094,74.6447,74.9269,75.3336,75.5125,75.6902,76.1998,76.5258,76.932,77.1284,77.2291,77.2033,77.9277,78.1383,78.3201,78.8021,79.171,78.9813,79.2614,79.734,79.5875,79.9471,79.7716,80.1316,80.5344,80.6505,80.8924,81.0073
Thailand,Asia,0.84,0.79,0.9,0.38,0.23,0.54,THA,51.0347,52.3637,52.7901,53.2444,53.9785,54.7122,55.2539,55.7544,56.2066,56.9323,57.7106,58.5241,59.0515,59.836,60.5521,61.2719,61.9776,62.3542,62.7399,63.2094,64.0124,64.5948,65.1635,65.7886,66.733,67.5874,68.4194,69.4478,69.6885,70.1219,70.4449,70.7168,70.8853,71.0678,71.2265,70.9475,71.6525,72.5005,72.8623,72.5419,72.3156,72.6127,72.9296,73.1546,73.0797,73.8202,74.9381,75.1872,75.4916,75.8416,76.1313,76.4212,76.7721,77.0827,77.4153,77.7166,78.0489,78.3939,78.6622,78.9751,79.2739,78.7154
Vietnam,Asia,1,1,1,1,1,1,VNM,59.6571,60.2607,60.1312,58.701,59.3233,58.6923,58.4672,58.1614,54.0696,56.1515,56.2218,56.7486,53.1029,56.7864,55.8304,62.8822,64.7745,65.0489,65.5289,66.0006,66.1954,66.6454,67.1059,67.1484,67.3052,67.6006,68.0128,68.3919,68.4688,69.076,69.2127,69.849,69.9579,70.6212,70.7587,71.3837,71.5098,71.8017,72.1068,72.3169,72.462,72.6472,72.8009,72.9803,73.135,73.2714,73.3194,73.4361,73.411,73.4982,73.5126,73.6921,73.7044,73.7755,73.8545,73.8763,73.9382,73.9632,73.9757,74.0929,75.3779,73.6181
Australia,Oceania,0.44,0.35,0.53,0.44,0.35,0.53,AUS,70.8657,71.1353,70.9067,70.9614,70.5726,70.8031,70.6785,71.0479,70.6811,71.0722,70.6537,71.452,71.7697,72.0599,71.851,72.786,72.7895,73.4736,73.7431,74.3293,74.5676,74.7846,74.7208,75.4425,75.5121,75.4328,76.0742,76.0862,76.347,76.2005,77.0443,77.4831,77.4765,78.0098,77.8558,78.2619,78.3492,78.6317,79.0275,79.2855,79.6309,80.0165,80.0639,80.4549,80.7512,81.1126,81.2822,81.2603,81.4589,81.7661,82.055,82.1336,82.3456,82.6041,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,84.5265
New Zealand,Oceania,0.1,0.08,0.11,0.08,0.07,0.1,NZL,71.2249,70.935,71.1998,71.2667,71.2954,71.215,71.0731,71.4376,71.0888,71.4755,71.2195,71.7172,71.8243,71.6757,71.9413,72.2013,72.3982,72.1367,73.0114,73.0532,72.8634,73.6334,73.7245,73.8297,74.367,73.8744,74.1165,74.2047,74.4753,74.8863,75.4242,76.0788,76.1899,76.4999,76.9197,76.7886,76.8094,77.3484,78.1725,77.9177,78.6782,78.6736,78.8773,79.1548,79.3715,80.0572,80.0489,80.1631,80.2908,80.5938,81.1019,80.8863,81.2089,81.6518,81.7921,81.9765,82.07,82.2189,82.3803,82.5665,82.7419,82.4513
Papua New Guinea,Oceania,0.91,0.87,0.96,0.88,0.81,0.96,PNG,45.679,46.2922,46.6593,47.5988,48.2019,48.8163,49.5078,50.135,50.8389,51.414,52.1266,52.5789,53.2155,53.8694,54.4803,55.0392,55.5688,56.0373,56.5543,57.0033,57.4349,57.8311,58.1094,58.3682,58.5931,58.8662,58.9588,59.213,59.3364,59.58,59.7212,59.9078,60.2184,60.5059,60.7564,61.0491,61.1049,61.3771,60.6294,61.6723,61.7199,61.7728,61.6978,61.7973,61.7611,61.8008,61.9172,62.0338,62.5708,62.7882,63.0395,63.5259,63.7325,63.9611,64.2589,64.7006,64.8399,65.1028,65.1822,65.4738,65.7868,65.3506
Solomon Islands,Oceania,1,1,1,0,0,0,SLB,47.7414,48.4339,49.2537,50.049,50.859,51.6589,52.4613,53.2082,54.2389,55.1626,56.0724,56.9777,57.7966,58.5943,59.3564,58.0777,60.7492,60.8636,61.9114,62.3878,62.7995,63.1611,63.5093,63.7616,63.9978,64.2903,63.7604,64.7641,64.9731,65.1863,65.3917,65.5793,65.7671,65.958,66.1876,66.3807,66.5898,66.7416,66.9204,67.0685,67.2249,67.3635,67.5148,67.6443,67.8009,67.9363,68.0899,67.9856,68.4039,68.4656,68.7318,68.908,69.0839,69.188,69.2337,69.5834,69.8007,69.9882,70.1733,70.3821,70.1987,70.3477
Armenia,Eastern Europe,0.98,0.96,1,0,0,0,ARM,61.4313,61.8035,62.1246,62.2227,62.4184,62.7542,62.9451,63.2134,63.3342,63.6556,63.8727,64.2077,64.5348,64.6111,64.8254,64.9617,65.1607,65.3638,65.7005,66.0406,66.1765,66.579,66.8899,67.1952,67.507,67.9305,68.1804,68.0952,53.8997,68.7034,68.8209,68.6431,68.6266,68.8415,69.0725,69.3108,69.7828,69.9098,70.5142,70.2565,70.6236,70.932,71.0179,71.4356,71.4205,71.7922,71.9868,72.3271,72.3985,72.8125,73.1597,73.3045,73.454,73.6759,74.0577,74.4361,74.6639,74.9059,75.0645,75.4386,72.173,72.0431
Azerbaijan,Eastern Europe,0.96,0.91,1.01,0,0,0,AZE,55.8366,56.1917,56.5155,56.8982,57.1962,57.6192,57.6723,57.9729,58.3672,58.5993,59.0184,59.3533,59.8027,60.0447,60.2282,60.3369,60.5211,60.627,60.7128,60.867,61.0809,61.2914,61.4469,61.96,61.9562,62.0927,62.1942,62.5691,62.7293,62.5822,62.3522,62.0524,61.2956,61.2856,61.5941,62.3052,62.6217,62.9728,63.5609,64.1892,64.8905,65.5101,66.2392,66.7563,67.3461,67.5619,68.1653,68.6032,68.8112,69.3556,69.5291,69.9835,70.3598,70.8814,71.1163,71.4512,72.0039,72.2478,72.7601,73.1023,66.8679,69.3658
Kazakhstan,Eastern Europe,0.75,0.65,0.84,0.75,0.64,0.84,KAZ,58.3544,58.5209,58.6625,58.9858,59.2074,59.522,59.7539,59.9414,60.0797,60.2758,60.5068,60.7399,61.1012,61.3908,61.6366,61.9158,61.7812,61.9916,62.2066,62.391,62.6499,63.0783,63.3641,63.7101,63.8579,64.1727,64.4865,65.0234,65.1875,65.0636,64.8758,64.4876,64.1593,64.1985,63.9631,63.7216,63.6327,63.7105,63.8123,63.9854,64.1781,64.3676,64.2693,64.5543,64.8566,65.117,65.627,65.928,66.7018,67.2789,68.1157,68.7452,69.1295,69.8136,70.3334,70.7265,70.8984,71.3958,71.4717,71.5675,70.0304,69.3622
Russia,Eastern Europe,0.61,0.59,0.64,0.57,0.53,0.6,RUS,68.2651,68.4264,68.0729,68.5254,69.1307,68.6382,68.6491,68.3208,68.2104,67.5655,67.6871,67.753,67.6775,67.673,67.699,67.1799,66.9459,66.9355,66.8094,66.4069,66.3128,66.5858,66.9792,66.8854,66.4597,67.0491,69.0476,69.0344,68.8956,68.9534,68.5354,68.4246,67.56,65.019,63.9354,64.101,65.4217,66.3645,66.7722,65.6306,65.2711,65.4166,65.1401,65.264,65.904,66.0746,67.2791,68.1535,68.4943,69.2116,69.386,70.3981,70.7695,71.3025,71.5664,72.1006,72.6609,73.3743,73.5306,73.9332,71.3423,69.419
Ukraine,Eastern Europe,0.61,0.51,0.71,0,0,0,UKR,70.0159,70.1056,69.8558,70.3236,70.7291,70.3823,70.2343,70.0784,70.0773,69.4898,69.3172,69.553,69.4188,69.5367,69.4217,69.54,69.5248,69.291,69.2194,68.9062,68.7486,69.0123,69.2828,69.2357,68.8661,68.9611,70.4354,70.1464,70.0639,70.2527,69.8024,69.073,68.6289,67.8725,67.4426,66.8275,67.1484,67.6315,68.3991,68.1197,67.8555,68.1814,68.1732,68.2087,68.4016,68.1506,68.7406,68.7657,69.1168,70.2472,70.6207,71.3872,71.6273,71.8617,72.5905,73.4581,74.3121,74.7181,74.4122,74.5364,72.5726,71.624
Uzbekistan,Eastern Europe,0.92,0.87,0.96,0.89,0.83,0.95,UZB,57.4729,57.7947,58.0658,58.4396,58.8465,59.2031,59.4641,59.803,60.2173,60.7162,60.9341,61.3255,61.6271,61.6761,62.0062,62.1806,62.5064,62.3292,62.5631,62.688,63.0358,63.3043,63.5635,63.8053,64.0022,64.2873,64.7226,64.984,65.1465,65.281,65.3456,65.1307,65.1091,64.8289,64.6854,64.6463,64.7118,64.7636,65.035,65.3835,65.7235,66.087,66.6037,67.0397,67.4012,67.4901,67.891,68.2918,68.7646,68.8705,69.2354,69.6487,69.8742,69.9895,70.2343,70.4753,70.7548,71.0095,71.1494,71.3441,70.3309,70.8616
Czech Republic,Former Soviet Republics,0.81,0.75,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Former Soviet Republics,0.28,0.25,0.31,0.25,0.2,0.3,EST,69.5237,69.5348,69.3352,69.7789,70.6182,70.2111,70.1454,70.465,70.2584,69.7371,69.8694,70.2766,70.0401,70.2444,70.531,69.7645,69.3032,69.7111,69.2732,69.1314,69.1215,69.1682,69.7269,69.6657,69.3197,69.193,70.3386,70.285,70.3605,70.4167,69.8312,69.712,69.3445,68.5792,67.8846,68.7257,70.1448,70.732,70.2171,71.1147,71.3298,71.4185,71.8708,72.1579,72.6438,73.1971,73.4792,73.6051,74.412,75.1919,75.7485,76.4681,76.5454,77.1272,77.1406,77.6563,77.8201,77.976,78.1395,78.6693,78.3431,77.1436
Hungary,Former Soviet Republics,0.39,0.36,0.41,0.39,0.36,0.41,HUN,68.0866,69.0164,67.9408,68.9435,69.4676,69.1489,69.8967,69.463,69.3451,69.3802,69.2194,69.08,69.721,69.6,69.2739,69.4229,69.6578,69.9357,69.47,69.6697,69.0883,69.1502,69.3524,68.9285,68.9641,68.9013,69.1125,69.5633,69.9417,69.394,69.3715,69.4407,69.1671,69.1803,69.6044,69.9689,70.5973,71.0035,70.9185,71.04,71.7579,72.3942,72.5074,72.5137,72.906,72.8648,73.3444,73.4316,73.9576,74.1794,74.5192,74.9232,75.1808,75.6809,75.8474,75.6517,76.1552,76.0055,76.2039,76.4543,75.7297,74.5301
Poland,Former Soviet Republics,0.43,0.39,0.47,0.35,0.31,0.39,POL,67.8296,67.9367,67.6365,68.5615,68.7841,69.486,69.8929,69.5933,70.2278,69.7118,69.5877,69.3714,70.5469,70.5295,71.0187,70.4393,70.4366,70.3299,70.2169,70.591,69.9498,70.9171,70.986,70.8391,70.6087,70.3681,70.6185,70.6747,71.0195,70.7646,70.678,70.3777,70.9072,71.4197,71.7101,71.9193,72.2472,72.5951,72.9517,72.9946,73.7335,74.2193,74.5826,74.7384,74.972,75.0936,75.2835,75.3386,75.5842,75.7811,76.3175,76.6506,76.7138,76.9705,77.5691,77.4151,77.8025,77.7205,77.6282,77.9272,76.9424,76.4572
