Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Brazil,America,0.6,0.58,0.62,0.6,0.58,0.62,BRA,52.6602,53.1828,53.7096,54.2088,54.6479,55.0844,55.4733,55.8684,56.3105,56.7483,57.1714,57.5858,58.0321,58.4718,58.8807,59.353,59.7918,60.2403,60.7203,61.2533,61.781,62.333,62.8563,63.3306,63.7726,64.1979,64.6404,65.0797,65.454,65.8676,65.9848,66.3096,66.7082,67.1092,67.5684,67.9191,68.409,68.8128,69.1885,69.5237,69.7367,70.1949,70.4103,70.7204,71.1307,71.7533,72.0373,72.3653,72.7153,72.9484,73.1821,73.3432,73.5517,73.9185,74.3058,74.3325,74.4415,74.8266,75.1095,75.3379,74.0089,72.7504
Chile,America,0.56,0.5,0.62,0.56,0.5,0.62,CHL,57.0147,57.5367,57.7708,57.1503,58.7378,59.455,59.6888,60.7203,61.6296,61.9053,62.4906,62.7319,62.2807,63.9046,64.9012,66.2792,65.8548,67.4023,68.0743,68.1864,68.8398,69.9092,70.2995,70.0114,70.4604,71.1762,71.8096,72.5396,72.4556,72.4669,72.574,73.5741,74.1354,74.1953,74.6139,74.6085,74.8988,75.5958,75.6695,76.0176,76.8695,76.7726,77.4445,77.3867,77.6161,78.0159,78.261,77.8258,78.4841,78.7409,78.5015,79.1099,79.0233,79.3391,79.4726,79.746,80.0794,80.3501,80.1334,80.3263,79.3769,78.9435
Colombia,America,0.8,0.73,0.87,0.8,0.73,0.87,COL,57.1305,57.73,58.301,58.8922,59.3753,59.8149,60.2041,60.5311,60.8708,61.2163,61.5694,62.0514,62.5686,63.0604,63.6401,64.2702,64.845,65.424,65.9544,66.3797,66.8676,67.1972,67.5308,67.745,67.9793,66.2765,68.2597,68.2676,68.3908,68.5326,68.644,68.8127,69.0381,69.3418,69.6132,69.9325,70.1885,70.4919,70.7378,70.9257,71.3201,71.502,71.9389,72.3606,72.6951,73.0814,73.468,73.8372,74.295,74.7418,75.0327,75.3198,75.5973,75.8267,76.0427,76.2573,76.4713,76.6456,76.7479,76.7523,74.7692,72.8296
Mexico,America,0.48,0.44,0.52,0.48,0.44,0.52,MEX,55.0168,55.8315,56.5985,57.3102,57.947,58.4992,58.9807,59.4196,59.8349,60.2503,60.6898,61.1551,61.6143,62.0549,62.4588,62.8105,63.1235,63.4339,63.7779,64.1886,64.7026,65.3132,65.9747,66.6439,67.2904,67.8739,68.3876,68.8435,69.2532,69.6226,69.9707,70.2977,70.6161,70.9423,71.2787,71.6457,72.0369,72.4454,72.8448,73.2249,73.5692,73.8668,74.1059,74.2743,74.372,74.3765,74.3313,74.2384,74.1524,74.119,74.1901,74.3651,74.574,74.7391,74.7974,74.6822,74.4122,74.1378,74.0146,74.2021,70.1328,70.2127
Uruguay,America,0.65,0.59,0.71,0.65,0.59,0.71,URY,67.7722,67.895,67.9941,68.0837,68.179,68.2937,68.4265,68.5577,68.6983,68.815,68.9036,68.9686,68.9328,69.0961,69.1927,69.3346,69.5226,69.7463,69.9995,70.279,70.5818,70.9006,71.2228,71.5387,71.8405,72.1225,72.381,72.6134,72.82,73.002,73.1617,73.3051,73.4412,73.579,73.7276,73.896,74.0876,74.298,74.5267,74.7695,75.0247,75.2851,75.5399,75.7851,76.0069,76.1935,76.3615,76.4981,76.623,76.7384,76.858,76.9833,77.111,77.24,77.3663,77.4827,77.5707,77.6247,77.611,77.5085,78.4298,75.4356
Canada,America,0.59,0.44,0.74,0.59,0.44,0.74,CAN,70.9758,71.2185,71.24,71.2699,71.6424,71.7518,71.8708,72.0842,72.2406,72.3985,72.6118,72.9514,72.828,73.0715,73.1446,73.451,73.8726,74.1557,74.4848,74.8395,75.0637,75.4839,75.6939,76.0673,76.3556,76.3472,76.4892,76.7956,76.8595,77.1216,77.4308,77.5917,77.8501,77.7229,77.8991,78.0194,78.271,78.4642,78.6739,78.8851,79.2335,79.4507,79.568,79.7396,80.0332,80.1364,80.5466,80.5495,80.7388,81.0737,81.3469,81.5286,81.7221,81.8029,81.8545,81.9246,82.0434,82.0192,82.0508,82.3628,82.0471,82.6565
United States,America,0.36,0.33,0.39,0.53,0.47,0.58,USA,69.8132,70.2385,70.1035,69.9321,70.1896,70.2417,70.2045,70.5187,70.2021,70.4785,70.7353,71.0957,71.172,71.3883,71.9499,72.5337,72.8339,73.2152,73.397,73.8202,73.7172,74.1052,74.4526,74.5432,74.6658,74.6421,74.7218,74.8538,74.828,75.1038,75.3699,75.5227,75.7776,75.567,75.7377,75.8536,76.1753,76.498,76.66,76.6718,76.8114,76.9285,77.0005,77.1536,77.5581,77.5573,77.8386,78.1004,78.1958,78.564,78.7724,78.82,78.9441,78.9507,79.0175,78.8694,78.8482,78.8213,78.9896,79.138,77.4144,77.1982
Cyprus,Middle East,0.16,0.15,0.18,0.16,0.15,0.18,CYP,64.1871,64.8039,65.424,62.2818,62.7898,67.0519,67.495,67.917,68.2734,68.4903,68.9274,69.3301,69.8113,70.1633,55.2298,70.5177,71.0401,71.3025,71.7673,71.895,71.95,71.941,71.9805,72.3113,72.2547,72.6468,72.6514,73.0892,73.1294,73.4797,73.5387,73.7158,74.1774,74.6497,74.7201,75.1329,75.5217,75.8415,76.1824,76.2948,76.568,76.9889,77.4873,77.7879,77.9435,78.1008,78.3708,78.8103,78.9812,79.4006,79.665,79.9991,80.1094,80.4016,80.7706,80.9665,81.0563,81.328,81.382,81.397,81.3905,81.2033
Iraq,Middle East,0.93,0.88,0.98,0.93,0.88,0.98,IRQ,52.6178,53.4111,54.3262,54.9477,55.6331,56.6156,57.3483,58.37,58.7809,59.32,60.1861,60.9092,61.388,62.0303,60.8985,61.4639,63.7147,64.2276,64.4011,64.7906,61.5001,59.3312,59.7327,60.0612,60.219,60.6798,60.8735,61.1764,57.4664,58.2346,58.4355,62.519,66.7077,66.8969,66.7442,66.4641,66.3907,65.8372,65.4859,66.1816,66.8171,67.0339,67.0836,65.6427,65.0307,64.8438,63.5873,63.5527,64.9421,66.4457,67.0622,67.659,68.0232,68.2534,68.9136,69.4403,68.9878,70.4126,71.5143,71.5764,69.1228,70.3779
Israel,Middle East,0.89,0.88,0.91,0.9,0.88,0.92,ISR,70.4249,70.7832,70.9946,71.1058,71.2486,71.307,71.3923,71.4423,71.3231,71.3673,71.3617,71.502,71.5684,71.6699,71.8115,72.1314,72.5307,72.7887,73.1405,73.4284,73.7095,74.2136,73.8081,74.6941,75.0231,75.3482,75.1465,75.6193,76.0634,76.6526,77.1942,77.0002,76.869,77.4502,77.6892,77.6352,78.2791,78.2718,78.4402,78.6971,78.9276,79.3448,79.2593,79.6242,80.1467,80.2171,80.5057,80.6651,81.0552,81.5756,81.7443,81.7274,81.7346,82.1154,82.2236,82.0999,82.4854,82.7195,82.8232,82.8123,82.3598,82.255
Jordan,Middle East,0.56,0.48,0.64,0.43,0.29,0.57,JOR,52.6173,53.6709,54.6579,55.5752,56.559,57.4153,57.8691,59.0103,59.7525,60.4439,59.8699,61.6121,62.3487,62.9085,63.4336,63.9608,64.4895,64.9813,65.4355,65.8506,66.2588,66.7141,67.1537,67.555,67.9249,68.2595,68.5665,68.8842,69.2522,69.5695,69.8538,70.0929,70.3163,70.518,70.6986,70.8699,71.0643,71.2725,71.4744,71.694,71.9178,72.1467,72.3585,72.5734,72.7725,72.9321,73.1449,73.3728,73.591,73.8014,73.9996,74.1891,74.3659,74.5621,74.7889,75.0112,75.2153,75.5018,75.7743,76.044,75.1843,74.2563
Kuwait,Middle East,0.56,0.5,0.62,0.5,0.43,0.57,KWT,56.919,58.0154,59.0787,60.1624,61.1578,62.2193,63.0748,63.9859,64.7354,65.6775,66.5303,67.0578,67.4208,67.5783,67.9298,67.8922,68.2063,68.5845,69.0122,69.677,70.3411,71.0811,71.4978,72.0199,72.6101,73.0738,73.5581,74.1101,74.5198,74.8255,73.2805,74.2164,75.6914,75.7944,75.7633,75.5368,75.6184,75.8787,76.1569,76.4159,76.722,76.8915,76.9822,76.9848,76.7924,76.9027,76.8868,77.0168,77.1455,77.4416,77.9817,78.4636,78.8118,79.1641,79.4449,79.5624,79.7011,79.7806,79.7217,79.685,76.9198,78.6729
Lebanon,Middle East,0.78,0.69,0.87,0.78,0.69,0.87,LBN,64.8406,65.2902,65.3969,65.6677,65.9534,66.0653,66.1587,66.5188,66.6073,66.6967,66.7592,66.8229,66.9066,67.2291,67.2941,58.1279,33.7371,59.2836,59.3821,59.4672,59.6648,59.9152,45.1277,59.9548,60.3037,60.4861,60.965,61.4275,61.7183,64.1627,64.4747,71.1761,71.1924,71.3824,71.6808,72.0432,72.2931,72.7779,72.9436,73.4905,73.9309,74.3648,75.0642,75.5932,75.9761,76.2726,76.0796,77.0801,77.5844,77.8892,78.1559,78.4036,78.6284,78.7652,78.9727,79.2294,79.5054,79.6543,79.729,79.2359,77.8038,75.0472
Oman,Middle East,0.96,0.95,0.97,0.96,0.95,0.97,OMN,35.4501,36.8229,38.1921,39.4175,40.6791,41.8849,43.0665,44.2848,45.5251,46.6845,47.6785,48.9341,49.5709,50.8587,52.0978,53.2973,55.2208,56.2567,57.7095,59.1514,60.4468,61.6462,62.9604,64.2166,65.2544,66.2716,67.0137,67.8868,68.5801,69.1555,69.782,70.189,70.6556,71.1648,71.3845,71.9901,72.1909,72.4145,72.9702,73.184,73.4658,73.8075,73.8687,74.14,74.3285,74.3962,74.4802,74.461,74.6115,74.6814,76.2695,76.6075,77.0607,77.2465,77.4462,77.6869,77.9158,77.9243,77.9659,78.0022,74.7571,72.5406
Saudi Arabia,Middle East,0.28,0.25,0.31,0.23,0.19,0.26,SAU,45.9404,46.4844,47.1,47.609,48.1484,48.7818,49.3432,50.053,50.915,51.8162,52.715,53.7729,54.7919,55.932,57.0168,58.068,58.9659,59.9465,60.8717,61.6975,62.6981,63.4721,64.3043,65.0529,65.6895,66.3297,66.9207,67.4001,67.9721,68.4913,68.9485,69.3658,69.9254,70.3033,70.705,71.0109,71.2731,71.4826,71.8787,72.1359,72.4667,72.9744,73.3366,73.6284,74.1526,74.5883,74.8096,75.0458,75.2744,75.4313,75.7629,76.234,76.4611,76.6257,76.7573,76.9185,77.0643,77.1605,77.2115,77.3036,76.2392,76.936
Syria,Middle East,0.95,0.93,0.98,0.97,0.94,1,SYR,53.5469,54.4367,55.0862,55.7784,56.5002,57.1131,57.5981,58.0949,59.0653,59.878,60.5274,61.3704,61.9004,60.6914,63.1191,63.5378,63.9223,63.7636,65.8058,66.1379,66.3512,64.3722,61.1191,67.8291,68.9244,68.756,69.2056,69.2951,69.6743,69.7604,69.8172,70.0357,70.2625,70.1929,70.1414,70.4163,70.3465,70.2826,70.1958,70.425,70.7639,71.6439,71.9394,72.4137,72.4747,72.7685,73.3495,73.7088,73.5508,73.8527,73.8808,73.3053,66.7687,63.8265,63.1529,65.1239,65.9933,68.4811,70.145,71.8224,72.1399,72.0627
Turkey,Middle East,0.69,0.66,0.71,0.65,0.61,0.69,TUR,50.7401,51.5504,52.3816,53.1732,53.7141,54.2585,54.7097,55.361,55.8353,56.3784,56.8948,57.4092,58.0686,58.5212,59.0507,59.4966,59.9653,60.7428,61.37,61.9121,62.5041,63.0099,63.6044,64.1458,64.7059,65.2399,65.7717,66.2775,66.7943,67.2445,67.7092,68.1689,68.4861,68.911,69.2949,69.6094,70.1414,70.5699,71.0388,70.6947,71.8613,72.2305,72.5785,72.8899,73.24,73.5341,73.8448,74.1927,74.4501,74.7653,75.0693,74.9406,75.678,76.2968,76.5648,76.646,76.6605,77.1408,77.5631,77.8318,75.85,76.0324
Yemen,Middle East,1,0.99,1,1,0.99,1,YEM,33.6785,34.0983,33.6147,33.2471,34.7378,35.373,36.0969,36.8662,37.7957,39.4742,40.5009,41.5425,42.46,43.3478,44.3249,45.2448,46.2377,47.2858,48.3915,49.3935,50.6539,51.7092,52.4051,53.9235,54.9338,55.6927,53.8187,57.0962,57.7589,58.2178,58.6994,59.049,59.4283,59.8595,59.7135,60.4532,60.5678,61.1193,61.3748,61.9752,62.588,63.2222,63.9062,64.5411,65.0059,65.543,65.9877,66.5653,66.9629,67.1964,67.28,67.4194,67.3429,67.5451,67.3842,65.8734,66.0641,65.9573,64.5751,65.0917,64.6501,63.7534
Algeria,Northern Africa,0.62,0.54,0.7,0.61,0.49,0.73,DZA,40.5322,40.5162,39.323,42.9084,42.7879,42.714,42.5429,42.5675,42.6422,42.7814,43.1597,43.6703,44.3465,45.0793,46.0341,46.9722,47.9854,49.1913,50.3529,51.7549,53.2609,55.2763,57.4284,59.5101,61.6581,63.5879,65.159,65.8297,66.9713,67.0855,67.416,67.6875,67.7571,67.7195,67.3614,67.4544,68.7493,69.1706,69.4506,70.0316,70.4779,70.8233,71.2296,71.2868,71.7617,72.0612,72.3336,72.6019,72.9405,73.6196,73.8081,74.1234,74.2024,74.6153,75.11,75.622,75.7318,75.7428,76.0656,76.4742,74.4528,76.3767
Egypt,Northern Africa,0.68,0.66,0.71,0.42,0.35,0.49,EGY,45.3734,46.0241,46.8428,47.6719,48.4697,49.128,49.5039,49.5379,49.8969,49.7969,50.0132,50.3859,50.7654,50.8524,51.8379,52.5907,53.3652,54.1338,54.9902,55.8017,56.6278,57.1376,57.9479,58.8882,59.7301,60.5423,61.2614,62.1373,62.98,63.6281,64.1459,64.7553,65.0305,65.4677,65.8155,66.312,66.7418,67.1967,67.4709,67.737,68.0074,68.3083,68.5635,68.4021,68.613,68.7786,68.9773,69.128,69.3186,69.48,69.6638,69.8805,70.0848,70.0521,70.4151,70.4831,70.8435,71.3019,71.3669,71.3575,70.9905,70.2207
Morocco,Northern Africa,0.73,0.69,0.77,0.73,0.68,0.79,MAR,42.0174,43.7947,44.2975,44.8202,45.3922,45.9728,46.5623,47.1895,47.7777,48.3145,48.8073,49.2434,49.7195,50.1714,50.6731,51.2436,51.9358,52.7043,53.4994,54.3508,55.2189,56.036,56.8966,57.7241,58.4904,59.2862,60.0414,60.7106,61.3203,61.899,62.4478,62.9464,63.4015,63.8721,64.3461,64.7358,65.2381,65.6293,66.0176,66.4062,66.7869,67.1798,67.5468,67.915,68.231,68.7039,69.1282,69.604,70.0481,70.4578,70.8288,71.2691,71.6789,72.1223,72.5377,72.9197,73.284,73.6603,73.9863,74.2705,73.9199,74.0419
Tunisia,Northern Africa,0.84,0.73,0.95,0,0,0,TUN,43.9401,44.1458,45.5125,46.5001,47.3653,48.4283,49.3268,50.4662,51.5732,52.5225,53.8695,54.835,56.1073,57.2002,58.2817,59.4683,60.4263,61.5426,62.3384,63.2106,63.9746,64.6913,65.4171,66.1368,66.8205,67.5891,68.2282,68.899,69.5687,69.6708,70.1103,70.5211,70.7015,71.2347,71.6145,71.9876,72.3796,72.8634,73.1687,73.5081,73.6901,73.8156,74.0595,74.3054,74.4902,74.7642,74.9215,75.072,75.1846,75.2667,75.4206,75.4595,75.5498,75.6502,75.6497,75.6919,75.7861,75.8448,75.9501,75.9933,75.2923,73.7719
Western Sahara,Northern Africa,0.53,0.41,0.65,0.53,0.41,0.65,ESH,38.5705,38.9285,39.3011,39.6733,40.0438,40.4071,40.756,41.1068,41.4335,41.7772,42.1484,42.5736,43.1455,43.802,44.5726,36.4527,38.4914,40.5332,42.3742,40.1047,41.7586,45.689,46.648,47.5477,48.4089,49.2833,50.1171,50.5768,53.3252,53.0049,57.7882,58.2587,58.7258,59.183,59.6649,60.148,60.6256,61.1216,61.6232,62.1546,62.6686,63.1646,63.6879,64.1842,64.6972,65.1753,65.6223,66.0984,66.5452,67.0386,67.4926,67.8989,68.2703,68.6511,68.9796,69.2957,69.5923,69.8544,70.0924,70.3129,70.5218,70.7804
Angola,"Africa (southern, eastern, western)",0.94,0.91,0.97,0.94,0.91,0.97,AGO,38.2107,37.2669,37.5394,37.824,38.1307,38.4954,38.7572,39.0922,39.4837,39.8291,40.1904,40.5543,40.9052,41.2705,41.6522,41.1909,41.1634,41.4365,41.8296,42.1755,42.4486,42.7715,43.0506,42.0916,42.353,42.648,42.8426,40.9174,41.545,41.7646,41.8933,43.8127,42.2088,42.1009,43.4217,45.8491,46.0329,46.3065,45.057,45.3858,46.0236,46.5905,47.3865,49.6173,50.592,51.5699,52.3688,53.6419,54.6327,55.7516,56.7258,57.5961,58.6231,59.3074,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,61.6434
Botswana,"Africa (southern, eastern, western)",0.88,0.78,0.98,0.85,0.7,1,BWA,50.3718,50.8906,51.3887,51.8813,52.3488,52.8088,53.2641,53.7205,54.1883,54.6839,55.1975,55.7448,56.3001,56.8615,57.4241,57.998,58.5831,59.169,59.6914,60.1762,60.6456,61.1247,61.5704,62.0043,62.3644,62.6264,62.6785,62.5216,61.7549,61.427,60.5327,59.4734,58.3482,57.7188,56.1542,55.0594,54.3573,53.4482,52.5226,51.6943,51.0109,50.6757,50.6324,50.9468,51.6168,52.6104,53.9182,55.732,57.1206,58.2791,60.0133,60.5302,60.8004,61.9958,62.6076,63.8183,65.4644,66.7526,65.4224,65.4636,65.6471,61.1409
Cameroon,"Africa (southern, eastern, western)",0.89,0.87,0.91,0.95,0.93,0.96,CMR,34.8188,35.4059,42.5161,42.9178,43.3102,43.8889,44.4363,45.1764,45.9785,46.8205,47.583,48.2505,48.8999,49.3235,49.5706,49.7175,49.8796,49.9951,50.2804,50.575,51.0409,51.5174,52.0848,52.762,53.2199,53.8986,54.0374,54.7242,54.9336,54.9469,54.8679,54.6577,54.4809,54.0615,53.5281,53.2218,52.8198,52.7367,52.582,52.6946,52.9317,53.1423,53.4148,53.8826,54.1779,54.3619,54.8564,55.1653,55.6548,56.1019,56.582,57.1331,57.7922,58.4761,58.9355,59.658,60.2333,60.8103,61.1798,61.5839,60.8328,60.3334
Democratic Republic of the Congo,"Africa (southern, eastern, western)",1,1,1,0,0,0,COD,40.8574,40.2387,40.3424,40.6036,40.0522,40.7043,42.0527,42.3102,42.7049,42.9761,43.2839,43.6555,43.9332,44.096,44.4098,44.4714,44.6559,44.7634,44.537,45.2069,45.4729,45.7196,45.9197,46.1806,46.445,46.624,46.9138,47.3359,47.7677,48.17,48.6006,48.9478,49.2436,49.5512,49.8841,50.411,49.3072,50.4021,49.6956,49.9448,51.7812,52.1162,52.3327,52.8266,53.426,53.9267,54.5338,54.9226,55.3386,55.8363,56.4167,57.0693,57.2484,57.7618,58.2963,58.49,59.0664,59.4114,59.9417,60.2757,59.7392,59.193
Ethiopia,"Africa (southern, eastern, western)",0.77,0.75,0.79,0.81,0.79,0.83,ETH,40.3304,40.9949,41.4031,41.9562,42.2747,42.4443,40.1503,42.6916,42.8444,42.8298,42.8154,42.8922,41.5503,41.6349,39.4531,39.3561,41.8953,41.893,41.8997,42.8075,43.217,43.6075,43.7673,36.0359,36.4295,37.3641,37.8113,45.4403,45.0611,45.0365,44.5567,46.1304,46.9015,47.394,47.8607,48.3016,48.9236,49.5138,49.9272,49.4248,50.5378,51.0426,51.5171,52.5326,53.2348,54.0085,55.1491,56.4264,57.5916,58.8043,59.73,60.7206,61.5431,62.3734,62.9046,63.6492,64.3919,64.8383,65.4117,65.8377,65.3705,64.9748
Gabon,"Africa (southern, eastern, western)",0.93,0.88,0.98,0,0,0,GAB,46.575,47.2283,47.8383,48.4786,49.048,49.7516,50.3485,50.8916,51.4387,51.9567,52.5546,53.0729,53.6051,54.057,54.567,55.0346,55.569,56.0893,56.6587,57.0529,57.4539,57.8161,58.1058,58.6008,58.8937,59.3106,59.6405,59.8939,60.0056,60.2647,60.3109,60.3968,60.5447,60.7183,60.7012,60.704,60.6118,60.662,60.7897,60.8487,61.069,61.2697,61.2916,61.6706,61.8378,61.9594,62.3746,62.6183,63.0829,63.3032,63.8977,64.0453,64.5871,64.7765,64.9743,65.4599,65.8025,66.1889,66.3064,66.6028,66.5305,65.821
Ghana,"Africa (southern, eastern, western)",1,1,1,0,0,0,GHA,47.0956,47.3254,47.4048,47.5784,47.7189,47.778,47.7266,47.6834,47.57,47.5647,47.8046,47.7976,48.0255,48.3978,48.7767,49.2465,49.7638,50.0849,50.5713,50.9325,51.1167,51.2694,51.3828,51.6216,52.0512,52.4164,53.1246,53.8242,54.5072,55.1909,55.6196,56.0118,56.2313,56.416,56.1124,56.5652,56.8201,57.1989,57.6003,58.0302,58.195,58.1072,58.6079,59.1108,59.1914,59.7601,59.9883,60.2243,60.49,60.946,61.1571,61.6517,62.0805,62.4205,63.0447,63.1752,63.8902,64.0131,64.122,64.7401,64.114,63.7954
